identifier,name,opens,openingHours,geoCoordinates.latitude,geoCoordinates.longitude,reservation,hasBreakfast,hasBrunch,hasLunch,hasDinner,isVegetarian,isVegan,main_dishes
1011217,John Baker Bahnhofstrasse,[],"['Mo,Tu,We,Th,Fr 07:00:00-18:30:00', 'Sa 08:00:00-17:00:00']",47.368156,8.539514,0,1,0,0,0,0,0,['sui_0502']
1011192,Restaurant Lennox,[],"['Mo,Tu,We,Th 11:30:00-22:00:00', 'Fr 11:30:00-00:00:00', 'Sa 10:00:00-00:00:00', 'Su 10:00:00-22:00:00']",47.226144,8.819738,0,0,1,1,1,0,0,['culinary-international']
1011149,Swiss Life Arena Gastronomie,[],,47.395173,8.479122,0,0,0,1,0,0,0,['culinary-italian']
1011103,MIKURIYA,[],"['Tu,We,Th,Fr,Sa 19:00:00-00:00:00']",47.372768,8.573081,0,0,0,0,1,0,0,"['culinary-gourmet', 'culinary-asian', 'culinary-japanese-sushi']"
1011068,Bill’s Burger,[],"['Mo,Tu,We,Th,Fr 11:00:00-14:00:00']",47.39338,8.511654,0,0,0,1,0,0,0,['culinary-american']
1011029,Restaurant elmira,[],,47.388924,8.526571,0,0,0,0,1,0,0,['culinary-gourmet']
1011017,Veganitas,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th 11:00:00-22:00:00', 'Fr,Sa 11:00:00-22:30:00', 'Su 11:00:00-21:30:00']",47.377582,8.527679,0,0,0,1,1,0,1,['culinary-vegan']
1010957,LOI Bistro,[],"['Tu,We,Th,Fr,Sa 09:30:00-17:00:00']",47.389234,8.525051,0,0,0,1,0,1,1,"['culinary-vegan', 'culinary-vegetarian']"
1010937,ZOOM Restaurant,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 06:00:00-10:00:00', 'Mo,Tu,We,Th,Fr,Sa,Su 11:30:00-23:00:00', 'Sa,Su 06:00:00-10:30:00']",47.4535,8.561,0,1,0,1,1,0,0,"['culinary-international', 'culinary-american', 'culinary-local-specialities']"
1010864,Holy Cow! Löwenstrasse,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 11:00:00-23:00:00']",47.376301,8.537405,0,0,0,1,1,0,0,"['culinary-international', 'culinary-bbq']"
1010822,Studio Bellerive,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr,Sa 07:00:00-23:00:00']",47.362244,8.547591,1,1,0,1,1,0,0,"['culinary-bbq', 'culinary-fish']"
1010817,FIVE Gastronomie,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",,47.36309,8.495577,0,0,0,1,1,0,0,"['culinary-asian', 'culinary-japanese-sushi', 'culinary-oriental']"
1010806,VITO Europaallee,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We 11:30:00-22:00:00', 'Th 11:30:00-23:00:00', 'Fr,Sa 11:30:00-00:00:00', 'Su 15:00:00-22:00:00']",47.378345,8.535776,0,0,0,1,1,0,0,"['culinary-italian', 'culinary-pasta']"
1010737,Unmeat,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Tu,We,Th,Fr 11:00:00-14:00:00', 'Tu,We,Th,Fr 17:00:00-22:00:00', 'Sa 11:00:00-22:00:00', 'Su 12:00:00-22:00:00']",47.378785,8.529258,0,0,0,1,1,1,1,"['culinary-american', 'culinary-vegan', 'culinary-vegetarian']"
1010566,Restaurant Enja,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 07:00:00-23:00:00', 'Sa 07:00:00-00:00:00']",47.373583,8.537233,1,1,0,1,1,0,1,"['culinary-international', 'culinary-vegan']"
1010543,Roof Garden Restaurant & Bar,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 11:00:00-00:00:00', 'Sa 10:00:00-00:00:00']",47.372,8.5413,0,0,0,1,1,0,0,"['culinary-french', 'culinary-mediterranean']"
1010461,Castellan’s,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 12:00:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa 18:00:00-22:00:00', 'Su 07:00:00-11:00:00']",47.365499,8.536029,1,1,1,1,1,1,0,"['culinary-vegetarian', 'culinary-fish', 'culinary-mediterranean', 'culinary-spanish']"
1010075,Kunsthaus Bar,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Tu,We,Th,Fr 07:30:00-00:00:00', 'Sa 08:30:00-00:00:00', 'Su 08:30:00-22:00:00']",47.371089,8.549101,0,1,0,1,1,0,0,[]
1001101,Restaurant Nüni,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We 07:30:00-23:00:00', 'Th,Fr 07:30:00-00:00:00', 'Sa 10:00:00-00:00:00', 'Su 10:00:00-21:00:00']",47.3879362,8.4989451,0,1,0,1,1,0,0,"['culinary-italian', 'culinary-pizza']"
1000975,Sablier Rooftop Restaurant & Bar,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:00:00-00:00:00', 'Sa 14:00:00-00:00:00', 'Su 10:00:00-19:00:00']",47.4509281,8.5656947,0,1,1,1,1,0,0,['culinary-french']
556900,Bagel Boys,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 07:00:00-18:00:00', 'Sa,Su 08:00:00-14:00:00']",47.414053,8.55923,0,0,0,1,1,0,0,"['culinary-american', 'atmosphere-relaxed-and-cosy', 'atmosphere-lively-and-cheerful']"
555921,Stadtkäserei und Restaurant,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 11:30:00-00:00:00', 'Sa 14:00:00-00:00:00']",47.380288,8.534458,1,1,1,1,1,0,0,['culinary-local-specialities']
555555,Restaurant & Bar Alex Lake Zürich,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 12:00:00-22:30:00']",47.297305,8.566769,0,1,1,1,1,0,0,[]
555223,Café Sprössling,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr,Sa 08:00:00-18:00:00']",47.391957,8.539058,0,1,0,0,0,1,1,"['culinary-vegan', 'culinary-vegetarian']"
554938,Auer & Co,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We 08:00:00-18:00:00', 'Th,Fr 08:00:00-20:00:00']",47.38478,8.533668,0,0,0,1,0,0,0,[]
554922,Kraftwerk Café & Restaurant,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Sunday']","['Mo,Tu,We 08:00:00-22:00:00', 'Th,Fr 08:00:00-00:00:00', 'Sa 14:00:00-22:00:00']",47.37214,8.53193,0,0,1,1,1,1,0,['culinary-vegetarian']
553492,Sagibeiz Sagisteg Seegüetli,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:30:00-23:00:00', 'Sa,Su 11:30:00-14:00:00']",47.113185,9.219149,0,0,1,1,1,0,0,['culinary-fish']
553315,Restaurant Boldern,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 07:00:00-23:00:00']",47.262218,8.701957,0,0,1,1,1,0,0,[]
392378,01 Bar,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th 11:00:00-00:00:00', 'Fr,Sa 11:00:00-02:00:00', 'Su 12:00:00-00:00:00']",47.373723,8.542981,0,0,0,1,0,0,0,[]
351092,Restaurant Kaufleuten,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th 18:30:00-22:30:00', 'Fr 18:30:00-00:00:00', 'Sa 12:30:00-00:00:00']",47.371556,8.536285,0,0,0,1,1,0,0,"['culinary-italian', 'culinary-local-specialities', 'culinary-pizza']"
329818,Restaurant Stoller,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th 06:00:00-22:00:00', 'Fr 06:00:00-23:00:00', 'Sa 07:00:00-23:00:00', 'Su 07:00:00-22:00:00']",47.378543,8.509165,0,0,1,0,0,0,0,['culinary-local-specialities']
327466,Café Lang,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We 08:00:00-23:00:00', 'Th,Fr 08:00:00-00:00:00', 'Sa 09:00:00-23:00:00', 'Su 10:00:00-18:00:00']",47.385108,8.531477,0,0,1,0,0,0,0,['atmosphere-relaxed-and-cosy']
313682,Luus Muus – Loose Moose,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 10:00:00-14:00:00']",47.302517,8.689937,0,0,1,1,0,0,0,[]
291383,Restaurant Vulkan,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:00:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa,Su 18:00:00-00:00:00']",47.381998,8.533633,1,0,0,1,1,0,0,['culinary-oriental']
291125,NA081,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:30:00-13:30:00', 'Mo,Tu,We,Th 18:00:00-22:00:00', 'Fr,Sa,Su 18:00:00-22:30:00']",47.381883,8.533477,1,0,0,1,1,0,0,"['culinary-italian', 'culinary-pasta', 'culinary-pizza']"
257401,Kafi Dihei,"['Monday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,We,Th,Fr 08:30:00-18:00:00', 'Sa,Su 09:00:00-18:00:00']",47.375256,8.513259,0,1,1,0,0,0,0,[]
257332,Bei Babette,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Tu,We,Th,Fr 17:00:00-23:00:00', 'Sa 10:00:00-23:00:00', 'Su 10:00:00-17:00:00']",47.374864,8.514978,0,1,1,0,0,0,0,['culinary-french']
254080,Lotti,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr 09:00:00-23:00:00', 'Sa 10:00:00-23:00:00']",47.375174,8.539712,0,1,1,0,0,0,0,[]
230908,Ristorante Ornellaia,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr,Sa 11:45:00-14:30:00', 'Tu,We,Th,Fr,Sa 18:45:00-23:00:00']",47.372457,8.537686,1,0,0,1,1,0,0,['culinary-italian']
206434,"Restaurant Winzerhaus, Weiningen","['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Tu,We,Th,Fr 11:00:00-14:00:00', 'Tu,We,Th,Fr,Sa 17:00:00-23:00:00', 'Su 10:00:00-22:00:00']",47.421311,8.431675,1,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-bbq']"
195415,Yardbird – Southern Fried Chicken,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 17:00:00-22:00:00']",47.373388,8.518959,0,0,0,1,1,0,0,['culinary-bbq']
194200,Restaurant Baur,"['Friday', 'Saturday']","['Fr,Sa 18:00:00-22:00:00']",47.369807,8.538948,0,0,0,1,1,0,0,"['culinary-italian', 'culinary-local-specialities']"
192319,Café des Amis,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 08:00:00-00:00:00', 'Sa 09:00:00-00:00:00', 'Su 09:00:00-18:00:00']",47.388647,8.536109,0,0,1,1,0,0,0,[]
176758,Restaurant Falkenburg,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Tu,We,Th,Fr,Sa 10:30:00-15:00:00', 'Tu,We,Th,Fr,Sa 17:30:00-23:30:00']",47.226815,8.816246,0,0,0,1,1,0,0,['culinary-local-specialities']
176752,Rüsterei – Grill Bar Kantine,[],"['Mo,Tu,We,Th,Fr 11:00:00-14:00:00', 'Mo,Tu,We,Th,Fr 17:00:00-23:00:00', 'Sa 11:30:00-23:00:00']",47.3581459,8.5227426,0,0,1,1,1,0,0,['culinary-american']
176746,Restaurant Bebek,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Su 08:00:00-00:00:00', 'Fr,Sa 08:00:00-01:00:00']",47.37452,8.520609,0,1,0,1,1,0,0,['culinary-oriental']
175792,Sternen Grill,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Su 10:30:00-21:00:00', 'Th,Fr,Sa 10:30:00-22:00:00']",47.367278,8.545563,0,0,0,1,1,0,0,['culinary-bbq']
175771,Restaurant Spitz,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",,47.3790236,8.5410057,0,0,1,1,1,1,0,['culinary-vegetarian']
174196,Enzian vegan food,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 08:30:00-20:00:00', 'Sa 09:00:00-20:00:00']",47.374083,8.543849,0,0,0,1,1,1,1,"['culinary-vegan', 'culinary-vegetarian', 'culinary-local-specialities']"
168655,Rechberg 1837,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr,Sa 18:00:00-23:00:00']",47.374027,8.546207,0,0,0,1,1,0,0,['culinary-local-specialities']
168640,Gartenrestaurant Mönchhof am See,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 11:30:00-23:00:00']",47.332681,8.544642,0,0,0,1,1,0,0,"['culinary-asian', 'culinary-japanese-sushi', 'culinary-bbq', 'culinary-fish', 'atmosphere', 'atmosphere-glamurous-and-chic']"
168457,Thailodge im Zoo Zürich,['Sunday'],,47.385474,8.578044,0,0,1,0,1,0,0,['culinary-asian']
167542,Ooki Japanese Izakaya,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa,Su 17:00:00-22:00:00']",47.372169,8.518794,0,0,0,1,1,0,0,"['culinary-asian', 'culinary-japanese-sushi']"
167338,Smith and de Luma,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa 16:00:00-22:00:00', 'Su 12:00:00-22:00:00']",47.361401,8.514638,0,0,0,1,1,0,0,"['culinary-international', 'culinary-bbq']"
